cl,week,price,b1,b2
Soriana,47,50,Reeses,Product85
Chedraui,45,40,Kisses,Product86
WholeFoods,26,7,Jolly Rancher,Product87
Walmart,10,17,Pelon,Product88
213 eleven,10,13,Pelon,Product89
Kmart,60,31,Kit Kat,Product90
OXXO,7,14,Pelon,Product91
Soriana,10,17,Pelon,Product92
Chedraui,60,33,Kit Kat,Product93
WholeFoods,7,17,Pelon,Product94
Walmart,10,17,Pelon,Product95
214 eleven,60,37,Kit Kat,Product96
Kmart,10,19,Pelon,Product97
OXXO,60,36,Kit Kat,Product98
Soriana,10,18,Pelon,Product99
Chedraui,60,36,Kit Kat,Product100
WholeFoods,10,14,Pelon,Product101
Walmart,45,55,Reeses,Product102
215 eleven,10,13,Pelon,Product103
Kmart,46,35,Kisses,Product104
OXXO,10,19,Pelon,Product105
Soriana,46,52,Kisses,Product130
Chedraui,47,42,Kisses,Product106
WholeFoods,10,16,Pelon,Product107
Walmart,46,37,Kisses,Product108
216 eleven,45,37,Kit Kat,Product109
Kmart,26,5,Jolly Rancher,Product110
OXXO,46,5,Jolly Rancher,Product111
Soriana,7,16,Pelon,Product112
Chedraui,46,5,Jolly Rancher,Product113
WholeFoods,46,7,Jolly Rancher,Product114
Walmart,46,7,Jolly Rancher,Product115
217 eleven,49,59,Reeses,Product9
Kmart,49,50,Reeses,Product35
OXXO,49,46,Reeses,Product186
Soriana,49,53,Reeses,Product18
Chedraui,55,38,Kit Kat,Product116
WholeFoods,46,23,Bites,Product117
Walmart,7,14,Pelon,Product118
218 eleven,46,28,Bites,Product119
Kmart,46,22,Bites,Product120
OXXO,46,55,Reeses,Product121
Soriana,46,49,Reeses,Product122
Chedraui,47,41,Reeses,Product123
WholeFoods,47,53,Reeses,Product124
Walmart,46,60,Reeses,Product125
219 eleven,60,23,Bites,Product126
Kmart,26,6,Jolly Rancher,Product138
OXXO,60,27,Bites,Product128
Soriana,7,18,Pelon,Product159
Chedraui,60,20,Bites,Product129
WholeFoods,60,25,Bites,Product130
Walmart,60,26,Bites,Product131
220 eleven,60,20,Bites,Product132
Kmart,26,7,Jolly Rancher,Product133
OXXO,46,51,Kisses,Product134
Soriana,7,17,Pelon,Product161
Chedraui,60,43,Kit Kat,Product135
WholeFoods,60,34,Kit Kat,Product136
Walmart,46,56,Reeses,Product137
221 eleven,46,57,Reeses,Product134
Kmart,46,50,Reeses,Product168
OXXO,7,17,Pelon,Product163
Soriana,60,45,Kit Kat,Product140
Chedraui,60,30,Kit Kat,Product141
WholeFoods,60,44,Kit Kat,Product142
Walmart,60,40,Kit Kat,Product143
222 eleven,46,48,Reeses,Product14
Kmart,7,17,Pelon,Product165
OXXO,20,19,Pelon,Product35
Soriana,22,21,Cocoa,Product145
Chedraui,7,16,Pelon,Product167
WholeFoods,25,15,Cocoa,Product163
Walmart,7,18,Pelon,Product170
223 eleven,47,45,Reeses,Product146
Kmart,57,40,Kisses,Product147
OXXO,60,34,Kit Kat,Product148
Soriana,7,18,Pelon,Product172
Chedraui,60,34,Kit Kat,Product149
WholeFoods,60,41,Kit Kat,Product150
Walmart,47,41,Kisses,Product151
224 eleven,60,43,Kit Kat,Product152
Kmart,60,38,Kit Kat,Product153
OXXO,5,14,Pelon,Product174
Soriana,7,15,Pelon,Product175
Chedraui,49,16,Pelon,Product154
WholeFoods,49,14,Pelon,Product155
Walmart,49,14,Pelon,Product156
225 eleven,49,18,Pelon,Product157
Kmart,49,16,Pelon,Product158
OXXO,49,18,Pelon,Product159
Soriana,49,18,Pelon,Product160
Chedraui,49,17,Pelon,Product161
WholeFoods,49,18,Pelon,Product162
Walmart,49,17,Pelon,Product163
226 eleven,49,16,Pelon,Product164
Kmart,49,17,Pelon,Product165
OXXO,49,15,Pelon,Product166
Soriana,49,16,Pelon,Product167
Chedraui,49,17,Pelon,Product168
WholeFoods,49,14,Pelon,Product169
Walmart,49,18,Pelon,Product170
227 eleven,49,17,Pelon,Product171
Kmart,49,18,Pelon,Product172
OXXO,49,19,Pelon,Product173
Soriana,49,14,Pelon,Product174
Chedraui,49,15,Pelon,Product175
WholeFoods,49,15,Pelon,Product176
Walmart,49,18,Pelon,Product177
228 eleven,49,19,Pelon,Product178
Kmart,7,15,Pelon,Product179
OXXO,60,20,Bites,Product179
Soriana,60,30,Bites,Product180
Chedraui,60,21,Bites,Product181
WholeFoods,60,26,Bites,Product182
Walmart,60,23,Bites,Product183
229 eleven,60,23,Bites,Product184
Kmart,60,22,Bites,Product185
OXXO,7,19,Pelon,Product178
Soriana,30,15,Cocoa,Product186
Chedraui,60,25,Bites,Product187
WholeFoods,7,15,Pelon,Product187
Walmart,7,17,Pelon,Product185
230 eleven,60,42,Kit Kat,Product188
Kmart,60,42,Kit Kat,Product189
OXXO,7,18,Pelon,Product183
Soriana,11,15,Pelon,Product190
Chedraui,27,37,Kit Kat,Product191
WholeFoods,7,18,Pelon,Product192
Walmart,41,51,Milk,Product193
231 eleven,20,17,Pelon,Product194
Kmart,27,39,Kit Kat,Product160
OXXO,5,13,Pelon,Product20
Soriana,36,60,Milk,Product196
Chedraui,27,31,Kit Kat,Product197
WholeFoods,7,16,Pelon,Product198
Walmart,7,16,Pelon,Product198
232 eleven,7,18,Pelon,Product199
Kmart,7,15,Pelon,Product200
OXXO,17,15,Pelon,Product1
Soriana,5,14,Pelon,Product2
Chedraui,6,15,Pelon,Product3
WholeFoods,17,19,Pelon,Product4
Walmart,9,17,Pelon,Product5
233 eleven,9,19,Cocoa,Product6
Kmart,10,20,Cocoa,Product7
OXXO,11,19,Cocoa,Product6
Soriana,11,20,Cocoa,Product8
Chedraui,12,20,Cocoa,Product8
WholeFoods,12,17,Cocoa,Product9
Walmart,12,16,Cocoa,Product10
234 eleven,13,20,Cocoa,Product11
Kmart,13,20,Cocoa,Product7
OXXO,15,16,Cocoa,Product12
Soriana,17,17,Cocoa,Product13
Chedraui,16,19,Pelon,Product14
WholeFoods,16,15,Cocoa,Product186
Walmart,20,18,Pelon,Product15
235 eleven,18,17,Cocoa,Product16
Kmart,7,19,Pelon,Product12
OXXO,12,17,Pelon,Product17
Soriana,7,13,Pelon,Product13
Chedraui,12,18,Pelon,Product18
WholeFoods,12,18,Pelon,Product19
Walmart,10,13,Pelon,Product20
236 eleven,10,15,Pelon,Product21
Kmart,7,19,Pelon,Product12
OXXO,7,17,Pelon,Product17
Soriana,27,15,Pelon,Product22
Chedraui,47,48,Reeses,Product14
WholeFoods,26,15,Pelon,Product23
Walmart,20,31,Hersheys,Product24
237 eleven,47,7,Jolly Rancher,Product25
Kmart,47,58,Reeses,Product26
OXXO,36,19,Cocoa,Product27
Soriana,23,7,Jolly Rancher,Product28
Chedraui,60,20,Bites,Product29
WholeFoods,60,23,Bites,Product30
Walmart,60,22,Bites,Product31
238 eleven,60,26,Bites,Product32
Kmart,60,21,Bites,Product33
OXXO,60,27,Bites,Product34
Soriana,23,7,Jolly Rancher,Product35
Chedraui,60,30,Bites,Product36
WholeFoods,60,21,Bites,Product37
Walmart,60,27,Bites,Product38
239 eleven,60,27,Bites,Product39
Kmart,23,5,Jolly Rancher,Product40
OXXO,60,22,Bites,Product41
Soriana,47,49,Kisses,Product42
Chedraui,24,5,Jolly Rancher,Product43
WholeFoods,47,39,Kisses,Product44
Walmart,47,36,Kisses,Product45
240 eleven,47,44,Kisses,Product46
Kmart,47,45,Kisses,Product47
OXXO,47,21,Bites,Product48
Soriana,47,28,Bites,Product49
Chedraui,47,26,Bites,Product50
WholeFoods,24,6,Jolly Rancher,Product104
Walmart,47,40,Reeses,Product51
241 eleven,47,40,Reeses,Product52
Kmart,47,6,Jolly Rancher,Product53
OXXO,47,143,Seasons,Product54
Soriana,24,5,Jolly Rancher,Product55
Chedraui,47,47,Kisses,Product56
WholeFoods,47,112,Seasons,Product57
Walmart,46,15,Almond Joy,Product58
242 eleven,25,5,Jolly Rancher,Product59
Kmart,25,7,Jolly Rancher,Product60
OXXO,47,40,Kisses,Product61
Soriana,47,39,Kit Kat,Product62
Chedraui,47,28,Bites,Product63
WholeFoods,39,15,Cocoa,Product186
Walmart,20,38,Kit Kat,Product64
243 eleven,28,45,Kit Kat,Product65
Kmart,39,53,Milk,Product66
OXXO,20,33,Kit Kat,Product67
Soriana,38,44,Milk,Product151
Chedraui,21,35,Kit Kat,Product69
WholeFoods,23,32,Kit Kat,Product70
Walmart,23,45,Kit Kat,Product71
244 eleven,33,49,Milk,Product72
Kmart,23,45,Kit Kat,Product65
OXXO,23,45,Kit Kat,Product73
Soriana,28,41,Kit Kat,Product74
Chedraui,28,44,Kit Kat,Product75
WholeFoods,22,42,Reeses,Product98
Walmart,22,38,Kit Kat,Product76
245 eleven,49,47,Reeses,Product115
Kmart,49,59,Reeses,Product9
OXXO,45,48,Reeses,Product174
Soriana,49,53,Reeses,Product18
Chedraui,22,32,Kit Kat,Product79
WholeFoods,7,14,Pelon,Product48
Walmart,50,39,Kisses,Product44
246 eleven,48,50,Reeses,Product80
Kmart,26,21,Bites,Product81
OXXO,22,34,Kit Kat,Product82
Soriana,49,42,Reeses,Product118
Chedraui,48,41,Reeses,Product83
WholeFoods,48,41,Reeses,Product84
Walmart,22,30,Kit Kat,Product85
247 eleven,42,56,Milk,Product86
Kmart,42,60,Milk,Product87
OXXO,23,31,Kit Kat,Product88
Soriana,48,57,Reeses,Product89
Chedraui,48,54,Reeses,Product90
WholeFoods,48,48,Reeses,Product91
Walmart,23,36,Kit Kat,Product92
248 eleven,48,50,Reeses,Product93
Kmart,48,45,Reeses,Product94
OXXO,26,33,Kit Kat,Product95
Soriana,48,43,Kisses,Product96
Chedraui,26,45,Kit Kat,Product97
WholeFoods,48,37,Kisses,Product98
Walmart,27,30,Kit Kat,Product99
249 eleven,19,13,Pelon,Product100
Kmart,7,14,Pelon,Product101
OXXO,7,16,Pelon,Product102
Soriana,26,25,Bites,Product103
Chedraui,8,15,Pelon,Product104
WholeFoods,8,19,Pelon,Product105
Walmart,7,19,Pelon,Product106
250 eleven,7,16,Pelon,Product107
Kmart,59,15,Pelon,Product108
OXXO,59,15,Pelon,Product109
Soriana,59,14,Pelon,Product110
Chedraui,59,15,Pelon,Product111
WholeFoods,59,16,Pelon,Product112
Walmart,59,15,Pelon,Product113
251 eleven,59,17,Pelon,Product114
Kmart,59,13,Pelon,Product115
OXXO,59,15,Pelon,Product116
Soriana,59,15,Pelon,Product117
Chedraui,59,14,Pelon,Product118
WholeFoods,59,19,Pelon,Product119
Walmart,59,19,Pelon,Product120
252 eleven,59,17,Pelon,Product121
Kmart,59,16,Pelon,Product122
OXXO,59,19,Pelon,Product123
Soriana,59,14,Pelon,Product124
Chedraui,59,13,Pelon,Product125
WholeFoods,59,13,Pelon,Product126
Walmart,59,14,Pelon,Product127
253 eleven,59,15,Pelon,Product128
Kmart,59,16,Pelon,Product129
OXXO,59,19,Pelon,Product130
Soriana,59,15,Pelon,Product131
Chedraui,59,15,Pelon,Product132
WholeFoods,6,15,Pelon,Product133
Walmart,6,18,Pelon,Product134
254 eleven,47,44,Reeses,Product135
Kmart,47,42,Reeses,Product136
OXXO,46,57,Reeses,Product6
Soriana,46,14,Almond Joy,Product137
Chedraui,46,10,Almond Joy,Product138
WholeFoods,46,6,Jolly Rancher,Product139
Walmart,46,28,Bites,Product49
255 eleven,46,36,Kisses,Product18
Kmart,60,22,Cocoa,Product140
OXXO,60,16,Cocoa,Product141
Soriana,58,15,Cocoa,Product142
Chedraui,60,40,Kit Kat,Product143
WholeFoods,60,42,Kit Kat,Product144
Walmart,60,37,Kit Kat,Product145
256 eleven,60,45,Kit Kat,Product146
Kmart,58,5,Jolly Rancher,Product147
OXXO,58,41,Kisses,Product148
Soriana,58,48,Kisses,Product149
Chedraui,58,36,Hersheys,Product150
WholeFoods,58,18,Cocoa,Product151
Walmart,58,11,Almond Joy,Product152
257 eleven,59,10,Almond Joy,Product153
Kmart,47,103,Seasons,Product154
OXXO,59,16,Cocoa,Product155
Soriana,60,33,Kit Kat,Product156
Chedraui,60,16,Cocoa,Product157
WholeFoods,60,21,Cocoa,Product158
Walmart,59,21,Cocoa,Product159
258 eleven,60,21,Cocoa,Product160
Kmart,59,16,Cocoa,Product161
OXXO,59,16,Cocoa,Product162
Soriana,60,43,Kit Kat,Product163
Chedraui,60,18,Cocoa,Product164
WholeFoods,60,19,Cocoa,Product165
Walmart,60,24,Bites,Product166
259 eleven,60,19,Cocoa,Product167
Kmart,60,14,Almond Joy,Product168
OXXO,60,15,Cocoa,Product169
Soriana,60,18,Cocoa,Product170
Chedraui,60,16,Cocoa,Product171
WholeFoods,60,18,Cocoa,Product172
Walmart,60,20,Cocoa,Product173
260 eleven,60,20,Cocoa,Product174
Kmart,60,43,Kit Kat,Product175
OXXO,62,17,Cocoa,Product176
Soriana,64,19,Cocoa,Product177
Chedraui,60,20,Cocoa,Product178
WholeFoods,48,138,Seasons,Product179
Walmart,47,46,Milk,Product180
261 eleven,46,43,Kisses,Product181
Kmart,46,44,Kisses,Product182
OXXO,46,23,Bites,Product183
Soriana,46,18,Pelon,Product184
Chedraui,46,17,Pelon,Product185
WholeFoods,46,16,Pelon,Product79
Walmart,50,16,Pelon,Product186
262 eleven,50,15,Pelon,Product187
Kmart,50,14,Pelon,Product188
OXXO,47,56,Reeses,Product189
Soriana,46,39,Kisses,Product190
Chedraui,46,46,Kisses,Product191
WholeFoods,46,48,Kisses,Product168
Walmart,46,41,Kisses,Product186
263 eleven,46,51,Kisses,Product193
Kmart,46,52,Kisses,Product194
OXXO,46,36,Kisses,Product45
Soriana,46,43,Kisses,Product195
Chedraui,47,22,Bites,Product17
WholeFoods,47,24,Bites,Product196
Walmart,47,24,Bites,Product197
264 eleven,47,29,Bites,Product198
Kmart,22,44,Kit Kat,Product199
OXXO,26,25,Bites,Product200
Soriana,22,35,Kit Kat,Product1
Chedraui,49,41,Milk,Product2
WholeFoods,22,30,Kit Kat,Product3
Walmart,55,47,Kisses,Product4
265 eleven,57,36,Kisses,Product5
Kmart,22,31,Kit Kat,Product6
OXXO,49,59,Milk,Product7
Soriana,23,41,Kit Kat,Product8
Chedraui,50,57,Milk,Product9
WholeFoods,23,39,Kit Kat,Product10
Walmart,26,45,Kit Kat,Product11
266 eleven,47,37,Kisses,Product12
Kmart,47,43,Kisses,Product13
OXXO,47,6,Jolly Rancher,Product14
Soriana,47,6,Jolly Rancher,Product15
Chedraui,27,33,Kit Kat,Product16
WholeFoods,48,52,Milk,Product17
Walmart,47,53,Reeses,Product18
267 eleven,47,46,Reeses,Product19
Kmart,47,60,Reeses,Product68
OXXO,58,39,Kisses,Product20
Soriana,48,137,Seasons,Product32
Chedraui,58,39,Kisses,Product21
WholeFoods,58,44,Kisses,Product22
Walmart,58,43,Kisses,Product23
268 eleven,58,13,Almond Joy,Product24
Kmart,58,15,Almond Joy,Product25
OXXO,58,15,Almond Joy,Product26
Soriana,58,19,Pelon,Product90
Chedraui,58,16,Pelon,Product80
WholeFoods,27,41,Kisses,Product27
Walmart,59,44,Kisses,Product28
269 eleven,48,137,Seasons,Product29
Kmart,59,50,Kisses,Product30
OXXO,59,47,Kisses,Product31
Soriana,59,50,Kisses,Product32
Chedraui,60,50,Kisses,Product33
WholeFoods,60,48,Kisses,Product34
Walmart,60,51,Kisses,Product35
270 eleven,61,44,Kisses,Product22
Kmart,61,48,Kisses,Product36
OXXO,61,43,Kisses,Product71
Soriana,59,17,Cocoa,Product13
Chedraui,59,21,Cocoa,Product38
WholeFoods,60,15,Cocoa,Product39
Walmart,60,18,Cocoa,Product63
271 eleven,60,15,Cocoa,Product41
Kmart,60,21,Cocoa,Product42
OXXO,60,17,Cocoa,Product81
Soriana,60,18,Pelon,Product44
Chedraui,60,59,Milk,Product45
WholeFoods,59,105,Seasons,Product49
Walmart,48,150,Seasons,Product34
272 eleven,59,118,Seasons,Product47
Kmart,59,140,Seasons,Product48
OXXO,59,105,Seasons,Product49
Soriana,59,136,Seasons,Product50
Chedraui,59,105,Seasons,Product49
WholeFoods,60,114,Seasons,Product51
Walmart,59,39,Hersheys,Product52
273 eleven,59,41,Hersheys,Product53
Kmart,59,41,Hersheys,Product54
OXXO,59,15,Almond Joy,Product55
Soriana,48,127,Seasons,Product56
Chedraui,59,12,Almond Joy,Product57
WholeFoods,60,15,Almond Joy,Product58
Walmart,60,14,Almond Joy,Product150
274 eleven,60,14,Almond Joy,Product59
Kmart,60,15,Almond Joy,Product60
OXXO,61,12,Almond Joy,Product61
Soriana,61,15,Almond Joy,Product62
Chedraui,61,15,Almond Joy,Product63
WholeFoods,61,10,Almond Joy,Product64
Walmart,59,24,Bites,Product65
275 eleven,59,20,Bites,Product66
Kmart,63,57,Milk,Product67
OXXO,63,52,Milk,Product68
Soriana,63,59,Milk,Product69
Chedraui,63,46,Milk,Product70
WholeFoods,63,51,Milk,Product71
Walmart,59,49,Milk,Product72
276 eleven,59,55,Milk,Product73
Kmart,59,49,Milk,Product74
OXXO,59,40,Milk,Product75
Soriana,60,21,Bites,Product76
Chedraui,60,28,Bites,Product77
WholeFoods,60,24,Bites,Product78
Walmart,60,21,Bites,Product79
277 eleven,60,29,Bites,Product80
Kmart,61,21,Bites,Product81
OXXO,61,26,Bites,Product82
Soriana,61,21,Bites,Product83
Chedraui,61,26,Bites,Product84
WholeFoods,60,33,Hersheys,Product85
Walmart,60,35,Hersheys,Product86
278 eleven,25,46,Reeses,Product171
Kmart,61,40,Reeses,Product87
OXXO,61,49,Reeses,Product88
Soriana,61,57,Reeses,Product89
Chedraui,61,50,Reeses,Product35
WholeFoods,61,48,Reeses,Product91
Walmart,62,51,Reeses,Product92
279 eleven,62,50,Reeses,Product93
Kmart,62,45,Reeses,Product94
OXXO,27,39,Kisses,Product95
Soriana,60,134,Seasons,Product96
Chedraui,60,140,Seasons,Product97
WholeFoods,63,42,Reeses,Product98
Walmart,63,43,Reeses,Product99
280 eleven,63,50,Reeses,Product100
Kmart,63,58,Reeses,Product101
OXXO,63,31,Hersheys,Product102
Soriana,60,46,Kisses,Product103
Chedraui,48,6,Jolly Rancher,Product104
WholeFoods,60,49,Kisses,Product105
Walmart,60,22,Bites,Product106
281 eleven,48,6,Jolly Rancher,Product107
Kmart,60,22,Bites,Product108
OXXO,60,20,Bites,Product109
Soriana,60,27,Bites,Product110
Chedraui,60,5,Jolly Rancher,Product111
WholeFoods,48,6,Jolly Rancher,Product176
Walmart,60,5,Jolly Rancher,Product112
282 eleven,61,46,Kisses,Product53
Kmart,48,5,Jolly Rancher,Product113
OXXO,61,45,Kisses,Product114
Soriana,61,46,Kisses,Product115
Chedraui,61,18,Cocoa,Product116
WholeFoods,47,5,Jolly Rancher,Product117
Walmart,61,18,Cocoa,Product118
283 eleven,61,21,Cocoa,Product119
Kmart,61,15,Cocoa,Product120
OXXO,61,19,Cocoa,Product121
Soriana,61,20,Cocoa,Product122
Chedraui,62,16,Cocoa,Product123
WholeFoods,62,15,Cocoa,Product124
Walmart,62,20,Cocoa,Product125
284 eleven,61,18,Cocoa,Product126
Kmart,47,6,Jolly Rancher,Product127
OXXO,61,19,Cocoa,Product128
Soriana,47,5,Jolly Rancher,Product129
Chedraui,61,19,Cocoa,Product18
WholeFoods,61,16,Pelon,Product55
Walmart,62,15,Cocoa,Product131
285 eleven,62,20,Cocoa,Product132
Kmart,62,17,Cocoa,Product133
OXXO,62,16,Pelon,Product80
Soriana,63,15,Cocoa,Product134
Chedraui,63,22,Cocoa,Product135
WholeFoods,63,17,Cocoa,Product136
Walmart,61,142,Seasons,Product137
286 eleven,47,6,Jolly Rancher,Product138
Kmart,61,140,Seasons,Product139
OXXO,61,117,Seasons,Product18
Soriana,61,124,Seasons,Product141
Chedraui,61,147,Seasons,Product142
WholeFoods,61,113,Seasons,Product143
Walmart,61,146,Seasons,Product144
287 eleven,63,19,Cocoa,Product90
Kmart,22,18,Pelon,Product146
OXXO,61,5,Jolly Rancher,Product147
Soriana,47,44,Reeses,Product148
Chedraui,61,5,Jolly Rancher,Product149
WholeFoods,64,47,Reeses,Product150
Walmart,64,59,Reeses,Product151
288 eleven,64,56,Reeses,Product152
Kmart,64,56,Reeses,Product153
OXXO,32,45,Kisses,Product154
Soriana,61,14,Pelon,Product155
Chedraui,47,42,Reeses,Product156
WholeFoods,61,18,Pelon,Product157
Walmart,61,16,Pelon,Product158
289 eleven,61,18,Pelon,Product159
Kmart,62,18,Pelon,Product160
OXXO,62,17,Pelon,Product161
Soriana,64,41,Milk,Product115
Chedraui,27,52,Kisses,Product163
WholeFoods,62,37,Kisses,Product164
Walmart,47,48,Reeses,Product165
290 eleven,62,51,Kisses,Product166
Kmart,62,50,Kisses,Product33
OXXO,62,36,Kisses,Product167
Soriana,62,36,Kisses,Product137
Chedraui,63,37,Kisses,Product169
WholeFoods,63,51,Kisses,Product170
Walmart,63,38,Kisses,Product171
291 eleven,63,36,Kisses,Product172
Kmart,62,7,Jolly Rancher,Product173
OXXO,47,48,Reeses,Product174
Soriana,62,5,Jolly Rancher,Product175
Chedraui,62,10,Almond Joy,Product176
WholeFoods,62,11,Almond Joy,Product177
Walmart,62,14,Almond Joy,Product178
292 eleven,62,10,Almond Joy,Product179
Kmart,63,12,Almond Joy,Product180
OXXO,63,12,Almond Joy,Product181
Soriana,63,11,Almond Joy,Product182
Chedraui,62,7,Jolly Rancher,Product183
WholeFoods,47,58,Reeses,Product184
Walmart,62,6,Jolly Rancher,Product185
293 eleven,62,6,Jolly Rancher,Product186
Kmart,62,5,Jolly Rancher,Product187
OXXO,62,6,Jolly Rancher,Product188
Soriana,62,5,Jolly Rancher,Product189
Chedraui,64,7,Jolly Rancher,Product190
WholeFoods,64,18,Pelon,Product191
Walmart,62,17,Cocoa,Product192
294 eleven,47,56,Reeses,Product193
Kmart,62,16,Cocoa,Product194
OXXO,63,6,Jolly Rancher,Product195
Soriana,63,6,Jolly Rancher,Product196
Chedraui,63,5,Jolly Rancher,Product197
WholeFoods,63,6,Jolly Rancher,Product198
Walmart,63,5,Jolly Rancher,Product199
295 eleven,62,49,Reeses,Product200
Kmart,47,58,Reeses,Product184
OXXO,63,49,Reeses,Product2
Soriana,64,10,Almond Joy,Product3
Chedraui,64,13,Almond Joy,Product4
WholeFoods,64,15,Almond Joy,Product5
Walmart,64,10,Almond Joy,Product6
296 eleven,64,11,Almond Joy,Product7
Kmart,63,41,Kit Kat,Product8
OXXO,47,56,Reeses,Product193
Soriana,63,39,Kit Kat,Product10
Chedraui,63,45,Kit Kat,Product11
WholeFoods,64,16,Cocoa,Product12
Walmart,64,17,Cocoa,Product13
297 eleven,64,21,Cocoa,Product14
Kmart,64,16,Pelon,Product80
OXXO,64,20,Bites,Product15
Soriana,64,22,Bites,Product16
Chedraui,64,22,Bites,Product17
WholeFoods,64,20,Bites,Product18
Walmart,63,16,Cocoa,Product19
298 eleven,63,22,Cocoa,Product20
Kmart,63,21,Cocoa,Product21
OXXO,64,22,Cocoa,Product22
Soriana,64,16,Cocoa,Product23
Chedraui,64,19,Cocoa,Product24
WholeFoods,36,51,Reeses,Product12
Walmart,63,51,Kisses,Product25
299 eleven,64,40,Kisses,Product26
Kmart,64,41,Kisses,Product27
OXXO,64,52,Kisses,Product159
Soriana,64,41,Kisses,Product29
Chedraui,64,50,Kisses,Product30
WholeFoods,13,18,Pelon,Product56
Walmart,64,137,Seasons,Product32
300 eleven,48,50,Reeses,Product93
Kmart,47,42,Reeses,Product33
OXXO,51,44,Reeses,Product34
Soriana,47,142,Seasons,Product35
Chedraui,48,47,Reeses,Product36
WholeFoods,47,49,Reeses,Product37
Walmart,34,51,Reeses,Product12
301 eleven,47,53,Reeses,Product38
Kmart,13,18,Pelon,Product39
OXXO,47,13,Pelon,Product40
Soriana,48,7,Jolly Rancher,Product41
Chedraui,28,5,Jolly Rancher,Product42
WholeFoods,48,5,Jolly Rancher,Product43
Walmart,13,18,Pelon,Product44
302 eleven,48,6,Jolly Rancher,Product45
Kmart,48,6,Jolly Rancher,Product46
OXXO,47,118,Seasons,Product47
Soriana,47,40,Reeses,Product51
Chedraui,47,45,Kisses,Product48
WholeFoods,49,105,Seasons,Product49
Walmart,49,47,Kisses,Product50
303 eleven,49,44,Kisses,Product51
Kmart,28,7,Jolly Rancher,Product52
OXXO,61,46,Reeses,Product53
Soriana,7,16,Pelon,Product102
Chedraui,61,50,Reeses,Product54
WholeFoods,61,49,Reeses,Product55
Walmart,48,47,Kisses,Product56
304 eleven,48,44,Kisses,Product57
Kmart,48,36,Kisses,Product58
OXXO,48,39,Kisses,Product59
Soriana,48,7,Jolly Rancher,Product60
Chedraui,48,7,Jolly Rancher,Product61
WholeFoods,7,13,Pelon,Product103
Walmart,48,6,Jolly Rancher,Product62
305 eleven,48,5,Jolly Rancher,Product63
Kmart,48,7,Jolly Rancher,Product64
OXXO,48,7,Jolly Rancher,Product65
Soriana,48,5,Jolly Rancher,Product66
Chedraui,48,6,Jolly Rancher,Product67
WholeFoods,47,60,Reeses,Product68
Walmart,47,40,Reeses,Product69
306 eleven,47,50,Reeses,Product70
Kmart,47,59,Reeses,Product71
OXXO,34,51,Reeses,Product12
Soriana,7,15,Pelon,Product108
Chedraui,28,49,Milk,Product72
WholeFoods,7,19,Pelon,Product105
Walmart,50,55,Milk,Product73
307 eleven,60,22,Cocoa,Product74
Kmart,62,19,Cocoa,Product75
OXXO,62,16,Cocoa,Product76
Soriana,62,22,Cocoa,Product77
Chedraui,62,16,Cocoa,Product78
WholeFoods,62,21,Cocoa,Product79
Walmart,62,20,Cocoa,Product80
308 eleven,62,17,Cocoa,Product81
Kmart,62,16,Cocoa,Product82
OXXO,62,20,Cocoa,Product83
Soriana,62,15,Cocoa,Product84
Chedraui,62,20,Cocoa,Product85
WholeFoods,62,20,Cocoa,Product86
Walmart,62,21,Cocoa,Product166
309 eleven,63,18,Cocoa,Product88
Kmart,63,22,Cocoa,Product89
OXXO,63,19,Cocoa,Product90
Soriana,63,18,Cocoa,Product91
Chedraui,63,16,Cocoa,Product92
WholeFoods,63,16,Cocoa,Product93
Walmart,63,15,Cocoa,Product94
310 eleven,63,16,Cocoa,Product95
Kmart,63,19,Cocoa,Product96
OXXO,63,20,Cocoa,Product97
Soriana,63,21,Cocoa,Product98
Chedraui,63,22,Cocoa,Product99
WholeFoods,63,19,Cocoa,Product100
Walmart,64,19,Cocoa,Product49
311 eleven,64,20,Cocoa,Product102
Kmart,64,19,Cocoa,Product103
OXXO,22,15,Pelon,Product104
Soriana,64,17,Cocoa,Product105
Chedraui,64,22,Cocoa,Product106
WholeFoods,64,16,Cocoa,Product107
Walmart,64,19,Cocoa,Product108
312 eleven,64,16,Cocoa,Product109
Kmart,64,15,Cocoa,Product110
OXXO,64,21,Cocoa,Product111
Soriana,64,20,Cocoa,Product112
Chedraui,64,21,Cocoa,Product113
WholeFoods,64,19,Cocoa,Product114
Walmart,34,51,Reeses,Product12
313 eleven,65,19,Cocoa,Product115
Kmart,65,18,Cocoa,Product116
OXXO,65,22,Cocoa,Product117
Soriana,65,18,Cocoa,Product118
Chedraui,65,21,Cocoa,Product119
WholeFoods,65,15,Cocoa,Product120
Walmart,65,15,Cocoa,Product134
314 eleven,65,19,Cocoa,Product121
Kmart,65,20,Cocoa,Product122
OXXO,7,16,Pelon,Product107
Soriana,65,16,Cocoa,Product123
Chedraui,22,14,Pelon,Product124
WholeFoods,33,42,Reeses,Product98
Walmart,10,13,Pelon,Product125
315 eleven,22,23,Bites,Product126
Kmart,22,16,Pelon,Product33
OXXO,10,15,Pelon,Product128
Soriana,15,16,Pelon,Product129
Chedraui,62,34,Kit Kat,Product130
WholeFoods,25,15,Pelon,Product22
Walmart,12,15,Pelon,Product132
316 eleven,48,21,Bites,Product133
Kmart,39,51,Reeses,Product12
